#adm1+name,#adm2+name,#population,#inneed+ipc+stressed+jan_mar,#inneed+ipc+crisis+jan_mar,#inneed+ipc+emergency+jan-mar,#inneed+ipc+stressed+apr_jun,#inneed+ipc+crisis+apr_jun,#inneed+ipc+emergency+apr_jun,#inneed+ipc+stressed+jul_sep,#inneed+ipc+crisis+jul_sep,#inneed+ipc+emergency+jul_sep
Awdal,Baki,99157,28659,5896,463,29335,12904,575,29335,13654,988
Awdal,Borama,453434,103568,25550,782,105873,83755,959,105873,115685,1784
Awdal,Lughaye,99157,23161,9609,6189,29126,20492,8178,29126,21114,8920
Awdal,Zeylac,72825,16446,6866,4837,21183,14300,6357,21183,14865,6357
Woqooyi Galbeed,Berbera,179997,44063,11866,3239,45983,26721,3239,45983,33779,4238
Woqooyi Galbeed,Gebiley,97441,24683,6385,75,25971,17537,75,25971,22086,323
Woqooyi Galbeed,Hargeysa,1044086,252915,117217,2478,263624,204808,4956,263624,285399,10655
Togdheer,Burco,498248,112790,80885,10903,117554,103220,12522,117554,144156,16246
Togdheer,Buuhoodle,98774,25524,12451,1261,25446,19522,429,25446,24538,1843
Togdheer,Owdweyne,87385,23541,9412,743,23892,14918,325,23892,20137,1398
Togdheer,Sheikh,71386,18044,7751,810,18176,10817,0,18176,14056,0
Sanaag,Ceel Afweyn,113789,25155,6652,2453,26660,17699,3265,26669,21164,3413
Sanaag,Ceerigaabo,195781,33443,11360,4546,38509,33315,4698,38526,43391,4975
Sanaag,Laasqoray/Badhan,252497,57178,13892,3803,62030,39867,3076,62030,50602,3076
Sool,Caynabo,46901,8928,2802,419,9158,10301,419,9242,11973,1800
Sool,Laas Caanood,226941,50530,14952,2810,57104,51108,4984,57104,55247,9984
Sool,Taleex,53457,10884,3098,425,11418,11288,425,11503,13447,1828
Sool,Xudun,33133,5402,2107,450,5580,8299,450,5670,9279,1935
Bari,Bandarbayla,15023,3368,1349,85,3368,2541,85,3368,3107,250
Bari,Bossaso,467020,118192,42117,4830,125197,109141,8295,125197,139963,16264
Bari,Caluula,51766,12281,3858,2758,12281,9715,2758,12281,10481,3665
Bari,Iskushuban,62264,13638,5779,2149,13638,7905,2149,13638,9122,2149
Bari,Qandala,52515,11674,3747,3162,11674,7253,3162,11674,8207,3162
Bari,Qardho,64346,15008,4213,432,15419,14762,432,15419,18143,1858
Nugaal,Burtinle,59092,12593,4390,953,14595,11728,1656,14595,14325,1943
Nugaal,Eyl,68592,16521,8066,1091,17338,11842,1324,17338,12810,1772
Nugaal,Garoowe,209904,39419,20354,2407,47188,43247,4778,47188,52393,5009
Mudug,Gaalkacyo,377473,121987,43940,11658,129003,89758,17610,129003,109924,18397
Mudug,Galdogob,72579,23291,6256,1303,24421,14986,2433,24421,17378,2632
Mudug,Hobyo,69851,16872,7012,1209,18564,10452,1209,18564,11393,1209
Mudug,Jariiban,74373,22494,8108,406,22663,12975,575,22663,15067,575
Mudug,Xarardheere,33447,5751,172,57,6515,5824,57,6515,8395,57
Galgaduud,Cabudwaaq,111450,39109,20471,3774,39684,30704,4348,39684,33152,8028
Galgaduud,Cadaado,77426,23633,8079,1400,24483,17682,2249,24483,20926,2882
Galgaduud,Ceel Buur,66069,19773,9768,1638,21751,15097,2177,21751,16085,3442
Galgaduud,Ceel Dheer,72923,13815,5252,1084,16867,12911,1084,16867,15288,2004
Galgaduud,Dhuusamarreeb,99941,35805,17700,3771,38451,25309,6387,38451,27592,6618
Hiraan,Belet Weyne,231850,54027,15865,3170,56291,50129,8171,57067,50129,12547
Hiraan,Bulo Burto,90880,16284,1978,666,17150,12248,666,17421,13980,1485
Hiraan,Jalalaqsi,100263,15867,1076,430,16662,9623,430,16860,11471,726
Middle Shabelle,Adan Yabaal,35878,3172,0,0,4654,2388,0,4654,3071,0
Middle Shabelle,Balcad,183234,33841,3801,951,29903,25403,951,30606,27827,4317
Middle Shabelle,Cadale,61427,5533,0,0,8200,4262,0,8200,5643,0
Middle Shabelle,Jowhar,156220,29697,4424,2015,25993,32460,2015,26734,37777,6000
Lower Shabelle,Afgooye,191431,40197,7210,3452,32966,36724,3452,33472,40965,7074
Lower Shabelle,Baraawe,56744,7764,1387,975,7764,9658,975,7851,10548,1763
Lower Shabelle,Kurtunwaarey,188547,42626,3867,375,42626,47255,375,45993,47861,14680
Lower Shabelle,Marka,180336,39339,6395,3150,39219,48604,3150,41324,52213,13356
Lower Shabelle,Qoryooley,207773,47033,4751,750,44387,50494,750,47477,53472,14052
Lower Shabelle,Sablaale,20212,4412,579,225,4412,5525,225,4691,6030,1494
Lower Shabelle,Wanla Weyn,66459,10798,847,0,8209,8123,0,8209,10857,0
Bay,Baydhaba/Bardaale,515337,119603,56517,13135,119516,121405,25435,123055,133238,30819
Bay,Buur Hakaba,129760,20813,5046,0,17910,13365,0,17910,15128,0
Bay,Diinsoor,139564,25059,9140,1178,21438,20371,1178,21438,22018,2534
Bay,Qansax Dheere,61939,11614,2863,0,9057,9525,0,10059,12112,1002
Bakool,Ceel Barde,50827,5503,1692,483,6049,5699,483,6049,6047,1039
Bakool,Rab Dhuure,32986,2703,0,0,3299,4091,0,3299,4784,0
Bakool,Tayeeglow,51735,5288,1065,50,6163,7934,50,7053,10189,997
Bakool,Waajid,69574,8290,3008,599,9067,11921,599,9979,13792,2199
Bakool,Xudur,79231,10234,4491,927,10912,14828,927,12048,17156,3128
Gedo,Baardheere,101133,34904,6711,777,21691,17480,777,22530,19920,2582
Gedo,Belet Xaawo,71052,29222,6731,2325,20567,15051,2325,20567,16579,3333
Gedo,Ceel Waaq,39783,18430,1751,302,9574,5088,302,9574,5879,433
Gedo,Doolow,56311,28514,8716,3578,28698,16312,7103,28736,16523,7169
Gedo,Garbahaarey,121988,53770,18923,7725,50390,36027,7725,50563,36542,11375
Gedo,Luuq,40676,15714,1699,45,9106,5824,45,9316,6926,431
Middle Juba,Bu'aale,78010,19230,10140,225,17741,16109,225,17741,17352,4094
Middle Juba,Jilib ,148587,36300,15134,425,36300,26291,425,36300,27928,6922
Middle Juba,Saakow/Salagle,59941,14694,6919,350,12670,11283,350,12670,12430,2458
Lower Juba,Afmadow/Xagar,164086,33785,10468,399,30226,22898,399,30226,27063,3376
Lower Juba,Badhaadhe,45955,7817,1712,50,7817,3650,50,7817,4559,215
Lower Juba,Jamaame,61242,18015,6430,200,18015,12482,200,18015,13077,3033
Lower Juba,Kismaayo,377653,90559,66923,13254,94909,82334,15429,94909,98953,21399
Banadir,Banadir,2228463,464531,92987,37275,489381,506575,49700,489381,679721,53428
